bug,dark,"[dark,fighting]"
bug,dark,"[dark,fire]"
bug,dark,"[dark,flying]"
bug,dark,"[fire,psychic]"
bug,dark,"[ghost,fire]"
bug,dark,"[ghost,flying]"
bug,dark,"[grass,dark]"
bug,dark,"[grass,psychic]"
bug,dark,"[ground,dark]"
bug,dark,"[ground,ghost]"
bug,dark,"[ground,psychic]"
bug,dark,"[psychic,fire]"
bug,dark,"[psychic,flying]"
bug,dark,"[psychic,grass]"
bug,dark,"[rock,dark]"
bug,dark,"[rock,psychic]"
bug,fighting,rock
bug,fighting,"[bug,fighting]"
bug,fighting,"[bug,fire]"
bug,fighting,"[bug,flying]"
bug,fighting,"[bug,grass]"
bug,fighting,"[bug,ground]"
bug,fighting,"[bug,rock]"
bug,fighting,"[dark,fighting]"
bug,fighting,"[dark,fire]"
bug,fighting,"[dark,flying]"
bug,fighting,"[fighting,steel]"
bug,fighting,"[fire,rock]"
bug,fighting,"[fire,steel]"
bug,fighting,"[grass,dark]"
bug,fighting,"[grass,ice]"
bug,fighting,"[grass,steel]"
bug,fighting,"[ground,dark]"
bug,fighting,"[ground,rock]"
bug,fighting,"[ground,steel]"
bug,fighting,"[ice,ground]"
bug,fighting,"[normal,fighting]"
bug,fighting,"[normal,grass]"
bug,fighting,"[rock,bug]"
bug,fighting,"[rock,dark]"
bug,fighting,"[rock,fighting]"
bug,fighting,"[rock,flying]"
bug,fighting,"[rock,grass]"
bug,fighting,"[rock,ground]"
bug,fighting,"[rock,psychic]"
bug,fighting,"[rock,steel]"
bug,fighting,"[rock,water]"
bug,fighting,"[steel,fighting]"
bug,fighting,"[steel,ground]"
bug,fighting,"[steel,rock]"
bug,fighting,"[water,rock]"
bug,grass,ground
bug,grass,rock
bug,grass,"[bug,grass]"
bug,grass,"[bug,ground]"
bug,grass,"[dragon,ground]"
bug,grass,"[electric,fire]"
bug,grass,"[electric,flying]"
bug,grass,"[electric,grass]"
bug,grass,"[fire,ground]"
bug,grass,"[grass,dark]"
bug,grass,"[grass,fighting]"
bug,grass,"[grass,flying]"
bug,grass,"[grass,ground]"
bug,grass,"[grass,ice]"
bug,grass,"[grass,poison]"
bug,grass,"[grass,psychic]"
bug,grass,"[grass,steel]"
bug,grass,"[ground,dark]"
bug,grass,"[ground,dragon]"
